ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID,Latitude,Longitude
46463,Petrie Terrace State School,Paddington,QLD,4064,Primary,Gov,Open,Major Cities,46463,51199,-27.46,153.01
52297,Phillip Island Village School,Ventnor,VIC,3922,Primary,Non-Gov,Open,Inner Regional,52297,70297,-38.5076,145.202
50268,Phoenix P-12 Community College,Sebastopol,VIC,3356,Combined,Gov,Open,Inner Regional,50268,69150,-37.5866,143.834
50269,Phoenix P-12 Community College-Redan Campus,Sebastopol,VIC,3356,Combined,Gov,Open,Inner Regional,50268,29151,-37.5855,143.835
48616,Phoenix Primary School,Hamilton Hill,WA,6163,Primary,Gov,Open,Major Cities,48616,45171,-32.0931,115.779
48761,Pia Wadjarri Remote Community School,Murchison,WA,6630,Combined,Gov,Open,Very Remote,48761,58075,-27.1237,116.391
46694,Pialba State School,Pialba,QLD,4655,Primary,Gov,Open,Inner Regional,46694,52740,-25.2795,152.833
50446,Piara Waters Primary School,Piara Waters,WA,6112,Primary,Gov,Open,Major Cities,50446,68905,-32.1358,115.909
48485,Pickering Brook Primary School,Pickering Brook,WA,6076,Primary,Gov,Open,Inner Regional,48485,49829,-32.0347,116.131
52610,Picnic Creek State School,Coomera,QLD,4209,Primary,Gov,Open,Major Cities,52610,85142,-27.8389,153.338
41581,Picnic Point High School,Picnic Point,NSW,2213,Secondary,Gov,Open,Major Cities,41581,46336,-33.9643,151.011
41476,Picnic Point Public School,Picnic Point,NSW,2213,Primary,Gov,Open,Major Cities,41476,48620,-33.9691,151.01
41565,Picton High School,Picton,NSW,2571,Secondary,Gov,Open,Inner Regional,41565,50230,-34.1945,150.608
48486,Picton Primary School,Glen Iris,WA,6230,Primary,Gov,Open,Inner Regional,48486,55356,-33.3401,115.689
41410,Picton Public School,Picton,NSW,2571,Primary,Gov,Open,Inner Regional,41410,50231,-34.1762,150.609
50115,Pigeon Hole School,Pigeon Hole,NT,852,Primary,Gov,Open,Very Remote,50115,47961,-16.8144,131.22
49849,Pilgrim School,Aberfoyle Park,SA,5159,Primary,Non-Gov,Open,Major Cities,49849,42627,-35.0681,138.595
42467,Pilliga Public School,Pilliga,NSW,2388,Primary,Gov,Open,Remote,42467,49493,-30.3522,148.889
46696,Pilton State School,Pilton,QLD,4361,Primary,Gov,Open,Inner Regional,46696,51963,-27.8681,152.05
