ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID
44910,Fyans Park Primary School,Newtown,VIC,3220,Primary,Gov,Open,Major Cities,44910,49577
42510,G S Kidd Memorial School,Gunnedah,NSW,2380,Special,Gov,Open,Outer Regional,42510,56186
52917,Gaayip-Yagila Primary School,Mickleham,VIC,3064,Primary,Gov,Open,Major Cities,52917,87641
46466,Gabbinbar State School,Centenary Heights,QLD,4350,Primary,Gov,Open,Inner Regional,46466,45150
52888,Gainsborough State School,Pimpama,QLD,4209,Primary,Gov,Open,Major Cities,52888,86956
48372,Gairdner Primary School,Gairdner,WA,6337,Primary,Gov,Open,Remote,48372,52543
46023,Galen Catholic College,Wangaratta,VIC,3677,Secondary,Non-Gov,Open,Inner Regional,46023,42419
43374,Galilee Catholic Primary School,Bondi Beach,NSW,2026,Primary,Non-Gov,Open,Major Cities,43374,41571
46092,Galilee Regional Catholic Primary School,South Melbourne,VIC,3205,Primary,Non-Gov,Open,Major Cities,46092,54552
43973,Galstaun College,Ingleside,NSW,2101,Combined,Non-Gov,Open,Major Cities,43973,45611
41345,Galston High School,Galston,NSW,2159,Secondary,Gov,Open,Major Cities,41345,48138
41212,Galston Public School,Galston,NSW,2159,Primary,Gov,Open,Major Cities,41212,48139
52927,Galungara Public School,Schofields,NSW,2762,Primary,Gov,Open,Major Cities,52927,87046
42569,Ganmain Public School,Ganmain,NSW,2702,Primary,Gov,Open,Outer Regional,42569,50553
50057,Gapuwiyak School,Gapuwiyak,NT,880,Combined,Gov,Open,Very Remote,50057,47952
42441,Garah Public School,Garah,NSW,2405,Primary,Gov,Open,Remote,42441,49509
47140,Garbutt State School,Garbutt,QLD,4814,Primary,Gov,Open,Outer Regional,47140,53022
51506,Garden College,Parafield Gardens,SA,5107,Combined,Non-Gov,Open,Major Cities,51506,70212
52573,Garden College - Elizabeth Campus,Daveron Park,SA,5113,Combined,Non-Gov,Open,Major Cities,51506,80114
42020,Garden Suburb Public School,Garden Suburb,NSW,2289,Primary,Gov,Open,Major Cities,42020,49035
41138,Gardeners Road Public School,Rosebery,NSW,2018,Primary,Gov,Open,Major Cities,41138,46132
44666,Gardenvale Primary School,Brighton East,VIC,3187,Primary,Gov,Open,Major Cities,44666,49275
44502,Garfield Primary School,Garfield,VIC,3814,Primary,Gov,Open,Inner Regional,44502,51857
47142,Gargett State School,Gargett,QLD,4741,Primary,Gov,Open,Outer Regional,47142,52962
49918,Garran Primary School,Garran,ACT,2605,Primary,Gov,Open,Major Cities,49918,50347
52916,Garrang Wilam Primary School,Truganina,VIC,3029,Primary,Gov,Open,Major Cities,52916,87643
48373,Gascoyne Junction Remote Community School,Gascoyne Junction,WA,6705,Combined,Gov,Open,Very Remote,48373,62828
52943,Gateway Community High,Carlingford,NSW,2118,Special,Non-Gov,Open,Major Cities,52943,
46427,Gatton State School,Gatton,QLD,4343,Primary,Gov,Open,Inner Regional,46427,51877
47254,Gaven State School,Oxenford,QLD,4210,Primary,Gov,Open,Major Cities,47254,55644
